bucket,n_obs,n_rounds,n_matches,raw_rate_pooled,n_obs_atk,raw_rate_atk,n_obs_def,raw_rate_def,adjusted_rate_atk,adjusted_coverage_atk,adjusted_rate_def,adjusted_coverage_def,regression_logit_atk_vs_ref,regression_logit_def_vs_ref,adjusted_rate_atk_ci_lo,adjusted_rate_atk_ci_hi,adjusted_rate_atk_n_valid_draws,adjusted_rate_atk_sparse,adjusted_rate_def_ci_lo,adjusted_rate_def_ci_hi,adjusted_rate_def_n_valid_draws,adjusted_rate_def_sparse
b0_exact,0,0,0,nan,0,nan,0,nan,nan,0.0,nan,0.0,,,,,0,True,,,0,True
b1,4816,4507,2378,0.676702657807309,2587,0.8395825280247391,2229,0.4876626289816061,0.7663760043139223,0.9670663936823635,0.545258338497882,0.9940177947830312,-0.08894994008465174,0.8975588214959311,0.7432340862269786,0.7865895071679491,500,,0.516083909753271,0.5768094880393126,500,
b2,4664,4371,2298,0.6515866209262435,2466,0.8195458231954582,2198,0.46314831665150136,0.7463624914987188,0.9670663936823635,0.5429120201150166,0.9940177947830312,-0.21558754536228375,0.8266182385013221,0.7238096978766847,0.7675678185123123,500,,0.5160838249100571,0.5662636266922091,500,
b3,4496,4231,2287,0.6737099644128114,2555,0.8285714285714286,1941,0.46986089644513135,0.7487063662926248,0.9670663936823635,0.5314199879226147,0.9868361118702741,-0.17996628567625395,0.8283548245409232,0.724154965666855,0.7699591557646122,500,,0.5037963086142583,0.5583792181574335,500,
b4,4271,4010,2209,0.6586279559822056,2389,0.8233570531603182,1882,0.4495217853347503,0.7426224840484578,0.9670663936823635,0.5184060369568204,0.9868361118702741,-0.19402605265476458,0.7855816711417039,0.720181661207137,0.7657228512306999,500,,0.49279457907310015,0.5472959761179726,500,
b5,5110,4788,2428,0.7078277886497064,3417,0.8384547848990342,1693,0.44418192557590075,0.7493365092224372,0.9803548795944235,0.5170924034390488,0.972108347757432,-0.07812962085764896,0.7943334045790119,0.7300610020549186,0.7674343689571366,500,,0.48847652802207575,0.5468173817571104,500,
b6,5866,5463,2567,0.7084896010910331,4227,0.8244617932339721,1639,0.40939597315436244,0.7543138853878107,0.9803548795944235,0.48033386907505327,0.9486198414867449,-0.11565331126116829,0.628588608353438,0.7347373924867002,0.7681964668085931,500,,0.4558284319563753,0.5095039894895342,500,
b7,6553,6042,2619,0.7128032962002137,4771,0.8348354642632572,1782,0.38608305274971944,0.7784327846087051,0.9941503363556597,0.4556397776261389,0.9578057149798062,0.056970127108738,0.4982709306725505,0.7652422819370677,0.7937717319643066,500,,0.4364724769228856,0.48770389337851255,500,
b8,6404,5911,2620,0.6762960649594004,4431,0.8070412999322952,1973,0.3826659908768373,0.7708921983294574,0.9616067076143124,0.4513666067359804,0.9558470741854178,-0.0010053296482023244,0.4603012927841907,0.7580587986712044,0.7843077187382649,500,,0.42891524137258275,0.48014308735759964,500,
b9,6365,5825,2626,0.6747839748625295,4316,0.8181186283595923,2049,0.3728648121034651,0.7889155169119053,0.9541191381495566,0.4306986557178636,0.9673863532841395,0.07724237326397027,0.3621866062140631,0.774297690692749,0.8004509171877348,500,,0.4073755222753377,0.4549692263985255,500,
b10,6238,5731,2587,0.6660788714331517,4233,0.8131348925112214,2005,0.35561097256857854,0.7892728846577473,0.9616067076143124,0.3899819384268141,0.9530837205065135,0.0907081632857426,0.23285183019367744,0.7762411708504384,0.8027577859708375,500,,0.37142925612633754,0.4170629339115648,500,
b11,6214,5723,2614,0.6586739620212424,4180,0.8098086124401914,2034,0.3480825958702065,0.7954701549357074,0.9616067076143124,0.38030332649626514,0.9331025477513588,0.12413987778398808,0.1737300657223898,0.7822364362115986,0.8083862171198121,500,,0.3598773243898904,0.4068349796112991,500,
b12,5823,5390,2559,0.6556757685042075,3828,0.8116509926854755,1995,0.35639097744360904,0.8001606728213065,0.9616067076143124,0.38291119724439704,0.9586256111262943,0.14162191256084294,0.18948270510270268,0.7879885563845301,0.813561186945946,500,,0.3632482069330166,0.4086944328549011,500,
b13,5706,5248,2562,0.6405538030143708,3662,0.8104860731840524,2044,0.33610567514677103,0.8075023505412771,0.9616067076143124,0.36065904011454564,0.9713188181348881,0.1867963121826685,0.05535319961463443,0.7929203991556691,0.821272292721156,500,,0.33270944466490415,0.37577758483366774,500,
b14,5229,4807,2426,0.6567221266016446,3359,0.814230425721941,1870,0.37379679144385025,0.8096783147208367,0.9616067076143124,0.39379938584761753,0.9621329446418269,0.20236485863742265,0.21413007363838435,0.7943113362348085,0.8228650785208089,500,,0.368385048452409,0.4140669367213555,500,
b15,4934,4598,2366,0.6532225374949331,3248,0.8106527093596059,1686,0.3499406880189798,0.8104214713812035,0.9541191381495566,0.36932427561089237,0.9315690382921866,0.20502277448422157,0.13099908649869302,0.7937571209415383,0.8241287419873737,500,,0.34643251638393563,0.3956153590107557,500,
b16,4835,4463,2351,0.6506721820062048,3104,0.8160438144329897,1731,0.35413056036972845,0.819356260810197,0.9541191381495566,0.36548487228305654,0.9331025477513588,0.25554060967267717,0.10488620700505832,0.8027589963665486,0.8315085561189783,500,,0.3443799663908985,0.39111050571982076,500,
b17,4440,4148,2306,0.6389639639639639,2817,0.8047568335108272,1623,0.3512014787430684,0.8055489996282797,0.9483377205810668,0.3554434938153726,0.9209559381737572,0.1921172220335739,0.07876228153488705,0.7909157640933371,0.821538282590216,500,,0.32997319273045517,0.38279101338343247,500,
b18,4299,3996,2219,0.64480111653873,2765,0.8075949367088607,1534,0.3513689700130378,0.8151989416932278,0.9483377205810668,0.3534663078389612,0.9356837022865993,0.2374104055054327,0.05021181526808708,0.8011972316640783,0.8304022179856377,500,,0.32719481126176964,0.3766762868161476,500,
b19,3826,3568,2101,0.6437532671197073,2430,0.8135802469135802,1396,0.34813753581661894,0.8213030373117866,0.940850151116311,0.33965134948642556,0.883179982387416,0.2705777615065329,-0.0018720391656204757,0.8047785644750926,0.8359926253880499,500,,0.3210835548429445,0.37828645687569157,500,
b20,3768,3492,2134,0.6411889596602972,2378,0.8019343986543314,1390,0.3661870503597122,0.8111150772869937,0.9221409768938288,0.35931874433153344,0.9356837022865993,0.26365777290974485,0.047238165066144464,0.7966620560361998,0.8268855157062002,500,,0.3306000622531151,0.38883670314821844,500,
b21,3422,3195,1997,0.6294564582115721,2164,0.8059149722735675,1258,0.32591414944356123,0.8175648440836977,0.9483377205810668,0.3151772952198083,0.904694664601743,0.2691837840128735,-0.11941387123422868,0.7998419995371555,0.8335591015471122,500,,0.288487050448076,0.3457842286008117,500,
b22,3282,3047,1925,0.647775746496039,2075,0.8130120481927711,1207,0.3637116818558409,0.8243465231179868,0.914653407429073,0.3499546203382389,0.8979077465002581,0.34231004330674386,0.007403131929189177,0.8083719979444381,0.8427952448817364,500,,0.32215870585619466,0.3804446119624467,500,
b23,3007,2826,1858,0.6408380445626871,1956,0.7995910020449898,1051,0.34538534728829684,0.814840975885897,0.9117870722433462,0.34253017565240923,0.883179982387416,0.2675196670409613,-0.041495653824031704,0.7953964912316004,0.8330259608554431,500,,0.3120454684540113,0.3743573263268101,500,
